festival_name,address_name,place_name,x,y,road_address_name,place_url
서울드럼페스티벌,서울 중구 태평로1가 54-3,서울드럼페스티벌,126.977964394097,37.5656906233558,서울 중구 세종대로 110,http://place.map.kakao.com/7935778
서울거리예술축제,,,,,,
서울문화의 밤,,,,,,
서울김장문화제,,,,,,
국악한마당,경기 부천시 송내동 299-24,소리야국악한마당,126.755794838289,37.4870350969374,경기 부천시 송내대로42번길 44,http://place.map.kakao.com/383317105
국악한마당,전북 전주시 완산구 태평동 22-11,황금예술국악한마당,127.138860909629,35.8257533656827,전북 전주시 완산구 공북로 64,http://place.map.kakao.com/1840692408
서울사진축제,서울 노원구 중계동 508,서울사진축제,127.066776128739,37.6408524151384,서울 노원구 동일로 1238,http://place.map.kakao.com/27291786
서울아리랑페스티벌,서울 용산구 남영동 131-1,(사단)서울아리랑페스티벌조직위원회,126.973703686576,37.5407176916654,서울 용산구 한강대로72길 3,http://place.map.kakao.com/23763683
한강 서래섬 꽃 축제,서울 서초구 반포동 1335-1,한강서래섬 유채꽃축제,126.989929419904,37.5080426353166,,http://place.map.kakao.com/339807216
서울빛초롱축제,서울 중구 태평로1가 1,서울빛초롱축제,126.977782252568,37.5691900568791,,http://place.map.kakao.com/187995053
도시농업축제한마당,,,,,,
서울건축문화제,,,,,,
지구촌나눔한마당,,,,,,
"서울 북 페스티벌
Seoul Book Festival
도서관아! 놀자",,,,,,
한강몽땅 여름축제,서울 성동구 성수동1가 642-25,한강몽땅여름축제,127.041625036414,37.5389437193822,서울 성동구 강변북로 257,http://place.map.kakao.com/26908826
서울대공원 벚꽃 축제,경기 과천시 막계동 658-2,서울대공원벚꽃축제,127.019906972499,37.4267918108838,,http://place.map.kakao.com/1317773462
서울대공원 벚꽃 축제,경기 과천시 막계동 81-3,서울랜드벚꽃축제,127.018977792634,37.4338054782208,,http://place.map.kakao.com/320181468
서울대공원 장미원 축제,경기 과천시 막계동 658-2,서울대공원 장미원축제,127.020038022847,37.4267701643271,,http://place.map.kakao.com/27082823
서울대공원 별밤 축제,,,,,,
서울대공원 가을 축제,,,,,,
점프구로축제,,,,,,
허준축제,서울 강서구 가양동 1471,허준축제,126.852247392708,37.568209506186,서울 강서구 허준로5길 42,http://place.map.kakao.com/42548942
겸재문화예술제,,,,,,
DMC 페스티벌,서울 마포구 상암동 1604,DMC페스티벌,126.891267508379,37.5804153158122,서울 마포구 성암로 267,http://place.map.kakao.com/256956434
서울장미축제,서울 중랑구 중화동 345-2,서울장미축제,127.073125668992,37.6039009668023,,http://place.map.kakao.com/26801317
서울장미축제,서울 송파구 방이동,올림픽공원장미축제,127.127650353944,37.5128971776499,,http://place.map.kakao.com/1535776763
강동선사문화축제,서울 강동구 암사동 139-2,강동선사문화축제,127.130257802123,37.5605464139303,서울 강동구 올림픽로 875,http://place.map.kakao.com/11263627
도심속 바다축제(안열림),,,,,,
영등포 여의도 봄꽃축제,서울 영등포구 여의도동 8,영등포 여의도봄꽃축제,126.918376714246,37.53298345217,,http://place.map.kakao.com/23982575
응봉산 개나리축제,서울 성동구 응봉동,응봉산개나리축제,127.029897499672,37.5481843169946,,http://place.map.kakao.com/8044678
태조 이성계 축제,,,,,,
성동디자인위크,서울 중구 을지로7가 2-1,서울디자인위크,127.009911012962,37.5671771051151,서울 중구 을지로 281,http://place.map.kakao.com/483256474
대학로 거리공연축제,,,,,,
세종마을 세종주간 축제,,,,,,
"궁중과 사대부가의
전통음식축제",,,,,,
육의전체험축제,서울 종로구 서린동 1-11,육의전체험축제,126.981015111113,37.56905727368,,http://place.map.kakao.com/25681613
윤동주문학제,,,,,,
인사전통문화축제,,,,,,
남대문 아동복축제,,,,,,
명동 빛 축제(년도가 달라짐),,,,,,
정동야행,,,,,,
충무로뮤지컬영화제,,,,,,
북한산페스티벌,서울 중구 태평로1가 1,서울 크리스마스페스티벌,126.977786791037,37.569154017912,,http://place.map.kakao.com/450584879
북한산페스티벌,서울 강북구 미아동 484-12,페스티발곱창,127.02920742034,37.6124830117525,서울 강북구 숭인로 67,http://place.map.kakao.com/21307056
북한산페스티벌,서울 종로구 내수동 74,광화문국제아트페스티벌,126.973126062472,37.5737733521993,서울 종로구 세종대로 175,http://place.map.kakao.com/26221211
북한산페스티벌,서울 종로구 내수동 74,광화문국제아트페스티벌조직위원회,126.973166810979,37.5737841734061,서울 종로구 사직로8길 42,http://place.map.kakao.com/23831933
북한산페스티벌,서울 종로구 관철동 12-2,페스티벌봄,126.986760842738,37.5690184140281,서울 종로구 종로14길 24,http://place.map.kakao.com/497643625
은평누리축제,서울 은평구 녹번동 153-59,은평누리축제,126.92330346166,37.6051997297099,서울 은평구 서오릉로 지하 47,http://place.map.kakao.com/909477200
성북진경축제,,,,,,
한양도성풍류순성(뭔지모름),,,,,,
도봉구 등축제,서울 노원구 중계동,노원등축제,127.069836214587,37.6515074773372,,http://place.map.kakao.com/1839271091
성북다문화음식축제,,,,,,
서울동화축제,서울 광진구 능동 18,서울동화축제,127.08106716486,37.5501893222734,서울 광진구 능동로 216,http://place.map.kakao.com/459956897
광나루어울마당,,,,,,
서울약령시 한방축제,서울 동대문구 제기동 982-1,서울약령시 한방문화축제,127.037341827205,37.5809460233054,서울 동대문구 약령중앙로 30,http://place.map.kakao.com/10499631
세계거리춤축제,,,,,,
청룡문화제,,,,,,
드래곤 밸리 페스티벌,,,,,,
이태원 지구촌 축제,서울 용산구 이태원동 119-25,이태원지구촌축제,126.993387977611,37.534745000082,서울 용산구 이태원로27가길 42,http://place.map.kakao.com/12764393
서대문독립민주축제,,,,,,
봉원사 서울연꽃문화축제(잘안나옴),,,,,,
신촌크리스마스 거리축제,서울 서대문구 창천동 31-123,신촌크리스마스 거리축제,126.936413421649,37.5569322852048,서울 서대문구 연세로5길 11,http://place.map.kakao.com/1074726988
신촌물총축제,서울 서대문구 창천동,신촌물총축제,126.936896810013,37.5581218608267,,http://place.map.kakao.com/739986241
서대문 책으로 축제,,,,,,
금천하모니 벚꽃축제,서울 금천구 시흥동 1020,금천하모니벚꽃축제,126.895393355835,37.456934797745,서울 금천구 시흥대로73길 70,http://place.map.kakao.com/1787016810
백제고분제,,,,,,
석촌호수 봄꽃축제,,,,,,
성내천 가을음악회,,,,,,
석촌호수 가을음악회,,,,,,
책 읽는 송파 북페스티벌,,,,,,
한성백제문화제,서울 송파구 방이동 88,한성백제문화제,127.11658346072,37.5185164633045,서울 송파구 올림픽로 424,http://place.map.kakao.com/11220561
석촌호수 낙엽거리축제,,,,,,
오금동한마음축제,,,,,,
관악강감찬축제,서울 관악구 봉천동 228,강감찬축제,126.960338797396,37.4713293547661,서울 관악구 낙성대로 77,http://place.map.kakao.com/341724214
4.19혁명국민문화제,서울 강북구 수유동 580-1,4.19혁명 국민문화제,127.007583011546,37.64861232316,서울 강북구 4.19로8길 17,http://place.map.kakao.com/1602165127
노원탈축제,서울 노원구 중계동 508,노원탈축제,127.067151719576,37.6402143049582,서울 노원구 동일로 1238,http://place.map.kakao.com/1303364521
태강릉·초안산궁중문화제,,,,,,
서리풀페스티벌,,,,,,
