,0,블로그 크롤링 결과,뉴스 크롤링 결과
0,"영등포 여의도 
봄꽃축제"," <dd class=""sh_blog_passage"">2019 <strong class=""hl"">영등포 여의도 봄꽃축제</strong> 여의도 벚꽃축제 기간과 주차 정보 윤중로벚꽃길 통제... 트인 영등포 ' 로 바뀌어서 당황.. ㅋㅋ 다시 건너편으로 가는 길에 입구 쪽에서...</dd><dd class=""sh_blog_passage"">바로 <strong class=""hl"">축제</strong>장으로 직진하지 마시고, 오신 김에 국회의사당에 들러서 눈도장 찍고 가셔도 좋을 것 같아요. 일부러 <strong class=""hl"">영등포 여의도</strong>까지 와서 국회의사당을 둘러 볼일은 거의...</dd>"," <dd>휴일인 7일 서울 <strong class=""hl"">여의도</strong>에서 열린 '2019 <strong class=""hl"">영등포 여의도 봄꽃축제</strong>'를 찾은 시민들이 윤중로에 만개한 벚꽃길을 걸으며 봄을 즐기고 있다.<strong class=""hl"">여의도 봄꽃축제</strong>는 오는 11일까지 윤중로 일대에서 열린다. 사진=김범석 기자 /사진...</dd><dd>25일 서울 <strong class=""hl"">영등포</strong>구에 따르면 4월 5일부터 11일까지 국회 뒤편 여의서로와 한강둔치 축구장 일대에서 제15회 <strong class=""hl"">영등포 여의도 봄꽃축제</strong>가 열린다. 이번 <strong class=""hl"">축제</strong>는 ‘꽃이 피면, 봄이 온다’라는 주제로 열린다. 여의서로 1.7...</dd>"
1,2019 이태원 지구촌 축제," <dd class=""sh_blog_passage""><strong class=""hl"">2019 이태원 지구촌축제</strong> 실시간 현장 포스팅 안녕하세요! 오늘은 실시간 포스팅으로... 이태원 지구촌축제는 먹거리들로 풍성하지만, 즐길 거리들도 다양한데요. 무료...</dd><dd class=""sh_blog_passage"">2019 ITAEWON FESTIVAL 이태원 지구촌축제 각종 공연과 먹거리들이 가득해서 열심히... ITAEWON GLOBAL VILLAGE FESTIVAL <strong class=""hl"">2019 이태원 지구촌축제</strong> 기간 2019년 10월 12일 ( 토 ) ~ 10월 13일...</dd>"," <dd>돼지고기라고 하던데 비리지도 않고 토치로 약간 구워서 보기도 좋았어요. 터키케밥부스는 4군데나 있더군요. 먹어본적 있어서 패스~~~ -<strong class=""hl"">2019</strong>. 10. 19 <strong class=""hl"">이태원 지구촌축제</strong>에서- [포토그래퍼 조수호]</dd><dd><strong class=""hl"">2019 이태원 지구촌 축제</strong> /채널A 제공 '관찰카메라 24'에서 이태원 지구촌 축제를 조명한다.25일 방송되는 채널A '관찰카메라 24'에서는 국내에서 즐길 수 있는 세계 문화 축제의 현장이 소개된다. 10월, 서울에서 가장...</dd><dd>25일 방송된 채널A ‘관찰카메라 24’에서는 <strong class=""hl"">이태원 지구촌 축제</strong> 현장을 카메라에 담았다.올해 10월... 한편, 다음주 10월 31일 할로윈데이를 맞아 <strong class=""hl"">2019</strong> 할로윈 <strong class=""hl"">축제</strong>를 즐길 수 있는 대표적인 장소로 <strong class=""hl"">이태원</strong>에 대한 관심이...</dd><dd>한우자조금관리위원회(위원장 민경천)는 지난 12일과 13일 양일간 이태원 관광특구 일대에서 열린 ‘<strong class=""hl"">2019 이태원 지구촌 축제</strong>’에 참여해 한우를 활용한 다채로운 이벤트를 진행했다....</dd><dd>하림이 축제현장을 찾은 관광객들에게 치킨 스테이크요리를 선보였다.하림(대표 박길연)은 지난 12일과 13일 이틀간 서울 용산구 이태원관광특구에서 열린 ‘<strong class=""hl"">2019 이태원 지구촌 축제</strong>’&lt;사진&gt;에 참가해 ‘하림 자연실록...</dd><dd>한우산업의 안정적 발전을 위해 설립된 한우자조금관리위원회(위원장 민경천)가 지난 12일부터 13일까지 이태원 관광특구 일대에서 진행된 ‘<strong class=""hl"">2019 이태원 지구촌 축제</strong>’에 참여해 한우를 활용한 다채로운 이벤트를...</dd><dd>'<strong class=""hl"">2019 이태원 지구촌 축제</strong>' 참가해 닭가슴살 간편하게 즐길 수 있는 닭가슴살 제품으로 지구촌 축제에서 소비자들의 입맛을 사로잡았다. 하림은 지난 12,13일 양일간 서울 용산구 이태원관광특구에서 열린 '2019 이태원...</dd>"
2,2019 드래곤 IT 페스티벌," <dd class=""sh_blog_passage"">안녕하세요 아프리카 치어리더팀입니다 ♣ 지금 <strong class=""hl"">2019</strong> KBO 포스트시즌 기간인데요... <strong class=""hl"">페스티벌</strong>입니다 <strong class=""hl"">드래곤</strong> <strong class=""hl"">페스티벌</strong>은 한국 <strong class=""hl"">IT</strong> 산업의 오랜 명맥을 지켜오고 있는 용산...</dd><dd class=""sh_blog_passage"">양천해우리페스티벌 2019.10 월중 (3 일간 ) ○ 양천예술제를 포함한 양천구... 용산구 <strong class=""hl"">2019 드래곤 IT 페스티벌</strong> 10 월 중 ○ 개막 콘서트 개최 ○ 첨단 전자제품 대회...</dd>"," <dd>서울<strong class=""hl"">드래곤</strong>시티호텔) 황교안 대표, &lt;저스티스 리그&gt; 공정 세상을 위한 청진기 투어(14:30 부경대학교... [경남] ▲ <strong class=""hl"">2019</strong> 코리아 스타트업 테크쇼 및 메이커 <strong class=""hl"">페스티벌</strong> 개막(13:30 창원컨벤션센터) ▲ 경남 학교...</dd><dd>히트작인 ‘<strong class=""hl"">드래곤</strong> 블레이즈’, ‘엘룬’, ‘빛의 계승자’ 3종으로 다양한 핼러윈 이벤트를 마련한다고... ◆한국타이어, ‘<strong class=""hl"">2019</strong> 대전사이언스<strong class=""hl"">페스티벌</strong>’ 참가 한국타이어앤테크놀로지(이하 한국타이어)가...</dd><dd>(SFF) <strong class=""hl"">2019</strong> 재팬'(13:00 일본 도쿄) ▲ 수입차 8월 판매실적 발표 [<strong class=""hl"">IT</strong>ㆍ의료과학] ▲ 과기정통부, 제2회... 맥주 <strong class=""hl"">페스티벌</strong> 개막식(19:30 서울 상암동) ▲ 중소벤처기업부, 산자중기위 결산소위(10:00 국회)...</dd><dd>서울시청, <strong class=""hl"">2019</strong> 미래혁신포럼 및 국제 자문단 총회(10:00 서울혁신파크) ▲ 서울시교육청, 전국장애학생 진로드림 <strong class=""hl"">페스티벌</strong>(14:40 더케이호텔) [문화] ▲ 여가부, 한국양성평등교육진흥원 방문(11:00 은평구...</dd><dd>▲ 2018년 11월29일 서울 용산구 <strong class=""hl"">드래곤</strong>시티호텔에서 열린 '인공지능 국제 컨퍼런스' 참가자들이 인간친화형... ▲ 지난 5월13일 서울 강남구 코엑스에서 열린 '<strong class=""hl"">2019</strong> 중견기업 일자리드림 <strong class=""hl"">페스티벌</strong>'을 찾은 구직자들이 AI현장...</dd><dd>(사진=피칫) LG전자, 롯데월드에서 'V50 ThinQ'로 즐기는 게임 <strong class=""hl"">페스티벌</strong> 개최 LG전자는 오는 20일과 21일 이틀간... 데모는 퀄컴의 최신 플랫폼 퀄컴 스냅<strong class=""hl"">드래곤</strong> 8cx SoC와 X55 5G 모뎀, 키사이트 5G 네트워크 에뮬레이션...</dd><dd>실제로 WCG <strong class=""hl"">2019</strong>는 단순히 게임대회로만 진행되는 게 아니었다. 이 대표는 “부활한 WCG는 예전과 달리 네 가지 영역인 e스포츠, 뉴호라이즌(신기술·신서비스 접목 미래형 e스포츠 등), <strong class=""hl"">페스티벌</strong>, 콘퍼런스 등으로 행사...</dd><dd>엔씨는 연관 사업으로 스푼즈, '블소' e스포츠, 피버 <strong class=""hl"">페스티벌</strong>, 엔씨코믹스, 버프툰을 하고 있다. 그러나... ◎ <strong class=""hl"">드래곤</strong>플라이, 공동 대표 체제로 전환 - <strong class=""hl"">드래곤</strong>플라이가 지난 18일, 박인찬-박철승 공동 대표 체제로...</dd><dd>1964년 첫 등장한 '킹 기도라'는 머리가 셋 달린 <strong class=""hl"">드래곤</strong> 모양을 하고 있으며, 영화사 토호가 만들어낸 괴수... 굿스마일컴퍼니는 2월 10일 일본에서 열리는 피규어 축제 ‘원더<strong class=""hl"">페스티벌</strong> <strong class=""hl"">2019</strong> 겨울' 현장에서 유키 미쿠...</dd>"
3,4.19혁명국민문화제2019," <dd class=""sh_blog_passage"">주제로 '4･19<strong class=""hl"">혁명 국민문화제 2019</strong>'를 개최했습니다. □ 문화와 교육, 참여, 전시... INT 유진석 / 토론대회 대상 수상팀 □ 저희가 <strong class=""hl"">4.19혁명</strong>을 주제로 발표를 준비하고...</dd><dd class=""sh_blog_passage""><strong class=""hl"">2019</strong>년 <strong class=""hl"">4.19 혁명 국민 문화제</strong>. 락 뮤직 페스티벌 출연진 소개. 라인업은 어떻게 될까~ 장소와 날짜 공유.. 이제 벚꽃도 슬슬 시들어 지고..하지만 완연한 봄이 찾아...</dd>"," <dd>업코리아, UPKOREA ▲ <strong class=""hl"">4.19혁명 국민문화제 2019</strong> 평가보고회장에서 발언하는 박겸수 강북구청장(왼쪽 두번째) [업코리아] 강북구가 '4·19혁명 국민문화제 2019'의 성과를 되짚는 평가보고회를 지난 28일 개최했다. 이날...</dd><dd>강북소방서(서장 장형순)는 18일 시민 스스로 이뤄낸 자유ㆍ민주ㆍ정의의 역사인 4.19 혁명을 계승하는 ‘<strong class=""hl"">4.19혁명 국민문화제 2019</strong>’ 행사에 참여했다. 이날 소방서는 주택용 소방시설 홍보 자동제세동기 사용법 소화기...</dd><dd>박겸수(가운데) 강북구청장이 18일 '<strong class=""hl"">4.19혁명 국민문화제 2019</strong>' 전야제 행사장에서 외국인 유학생 탐방단원들과 기념촬영을 하고 있다. (사진=강북구) 김태형</dd><dd>- 세계사적 흐름에서 본 4.19의 가치 집중조명 서울 강북구(구청장 박겸수)는 ‘<strong class=""hl"">4.19혁명 국민문화제 2019</strong>’의 일환으로 지난 17일 한국프레스센터에서 ‘제3회 4.19혁명 국제학술회의’를 개최했다. 세계사적 시각으로...</dd><dd>강북구(구청장 박겸수)가 18일 4·19<strong class=""hl"">혁명</strong> 제59주년 기념 ‘4·19<strong class=""hl"">혁명 국민문화제 2019</strong>’ 전야제 행사를 개최했다. 강북구청 사거리에서 광산사거리에 이르는 메인행사장에서는 4·19정신을 계승하기 위한 ‘헌혈...</dd>"
4,서울장미축제," <dd class=""sh_blog_passage"">찾는 축제가 되지 않았나 싶습니다. 이제는 어엿하게 <strong class=""hl"">서울 장미축제</strong>라는 이름으로... 좋은 변화려니 싶기도 하고, 해를 거듭할수록 서울 도심의 장미축제로 자리를...</dd><dd class=""sh_blog_passage"">2019 <strong class=""hl"">서울장미축제</strong> 서울장미공원~중랑천 첫날 풍경 축제 장소: 묵동교~ 서울시 중랑구 동일로 961(지하철 6호선 태릉입구역 8번출구) 꽃찾아 다니다보면 정말 한해를 다...</dd>"," <dd>행사에는 어반자카파, 거미, <strong class=""hl"">장미</strong>여관, 장기하와 얼굴들, 국카스텐, 비와이 등 18개팀이 나흘에 걸쳐 공연을 펼쳐, 총 6만 명의 관객을 모았다. 이 같은 게임 대회와 음악 행사의 융합은 2017년에도 이어져 <strong class=""hl"">서울</strong>광장에...</dd><dd><strong class=""hl"">서울</strong>근교 <strong class=""hl"">서울</strong>대공원 가을 <strong class=""hl"">장미 축제</strong>도 인생샷을 건질 10월 11월 가을꽃 명소로 추천한다. 서해안 <strong class=""hl"">축제</strong> 태안 가을꽃<strong class=""hl"">축제</strong> 이후 안면도 국화<strong class=""hl"">축제</strong>와 청산수목원 태안 팜파스 <strong class=""hl"">축제</strong>에서 국화를 비롯해 억새, 핑크뮬리...</dd><dd>100년기념 사업추진위원회 공동위원장인 이장호 감독, 배우 <strong class=""hl"">장미</strong>이 타임캡슐 봉인식을 하고 퇴장하고 있다. 27일 오후 6시 30분 <strong class=""hl"">서울</strong> 광화문광장에서 '한국영화 100년 기념 광화문 <strong class=""hl"">축제</strong>'가 열렸다. 현장에는 이재용...</dd><dd>이밖에 <strong class=""hl"">서울</strong>근교 <strong class=""hl"">서울</strong>대공원 가을 <strong class=""hl"">장미 축제</strong>도 인생샷을 건질 10월 가을꽃 명소로 추천한다. 이번 주말 창원 ‘마산국화 <strong class=""hl"">축제</strong>’와 전남 10월 11월 가을꽃<strong class=""hl"">축제</strong> ‘화순 국화 향현’ 등 가을 날씨에 국화향을 즐길 수 있는...</dd><dd>핼러윈 <strong class=""hl"">축제</strong> '루나 이클립스'를 진행하고 있다. <strong class=""hl"">서울</strong>랜드는 루나 이클립스를 통해 붉은 달빛에 물든... 피로 물든 듯한 수백 개의 <strong class=""hl"">장미</strong>가 있는 '로맨틱 로즈 게이트', 붉은 달빛을 내뿜는 '더 이클립스 레드문', 뱀파이어...</dd><dd>이번 주는 할로윈 주간을 맞아 특별한 <strong class=""hl"">축제</strong>와 볼거리가 준비된다. 여의도·반포(25일~26일)에서는... <strong class=""hl"">서울</strong>대공원 가을 <strong class=""hl"">장미</strong>는 체리 메이딜란트, 윈쇼튼, 핑크피스, 메어리로즈 등 추위에 강한 품종이다. 세계의 다양한...</dd><dd><strong class=""hl"">서울</strong>근료 <strong class=""hl"">서울</strong>대공원 가을 <strong class=""hl"">장미 축제</strong>도 인생샷을 건질 10월 가을꽃 명소로 추천한다. 5월 봄 <strong class=""hl"">장미</strong>와는 또 다른 매력의 가을<strong class=""hl"">장미</strong>를 만나보자.2019 단풍시기, 설악산 단풍 절정2019 단풍절정시기는 설악산 단풍드는시기를...</dd><dd>곡성세계<strong class=""hl"">장미축제</strong>가 지난달 29일 <strong class=""hl"">서울</strong> KT올레스퀘어에서 개최된 2019년 대한민국 빅데이터 <strong class=""hl"">축제</strong>대상에서 '신예인기대상'을 수상했다. 대한민국 빅데이터 <strong class=""hl"">축제</strong> 대상은 세계<strong class=""hl"">축제</strong>협회 한국지부, 고려대학교 빅데이터...</dd>"
5,용마폭포 문화예술축제," <dd class=""sh_blog_passage"">[10월 축제] 제4회 <strong class=""hl"">용마폭포 문화예술축제</strong> 폭포와 함께하는 행복한 문화 나들이... 제4회 <strong class=""hl"">용마폭포 문화예술축제</strong> 2019. 10. 12.(토) ~ 13.(일) 09:00-21:00 용마폭포공원...</dd><dd class=""sh_blog_passage""><strong class=""hl"">용마폭포 문화예술축제</strong> By marolles 난 #중랑구 에 살고 있는데... 이 쪽은 처음 와본다. 용마폭포공원~! 에서 #문화예술축제 가 벌써 4회째라니... 오호~! 아이랑 같이 와...</dd>"," <dd>중랑구(구청장 류경기)는 12일, 13일 이틀간 <strong class=""hl"">용마폭포</strong>공원에서 ‘<strong class=""hl"">용마폭포 문화예술축제</strong>’을 개최했다. <strong class=""hl"">용마폭포 문화예술축제</strong>에는 유명 가수의 공연과 함께 다양한 전시, 주민들이 참여할 수 있는 체험프로그램...</dd><dd>개막식은 12일 중랑구 '<strong class=""hl"">용마폭포문화예술축제</strong>'와 함께 진행된다. 공공미술 '타원본부'는 웅장한 절벽과 시원한 <strong class=""hl"">폭포</strong>의 장관 아래 고요한 수면과 함께 어우러진 30미터의 타원형 광장작품이다. 작품은 가로 30미터, 너비...</dd>"
6,서울거리예술축제 2019," <dd class=""sh_blog_passage"">축제 &lt;<strong class=""hl"">서울거리예술축제 2019</strong>&gt; 10월 3일 ~ 6일 “거리예술에서 시도할 수 있는... 펼쳐지는 ‘서울거리예술축제’의 특징을 이렇게 설명했다. 조 감독은 이는...</dd><dd class=""sh_blog_passage"">6(일) 09:00~22:00 구간 : 청계광장 앞~덕수궁 대한문 앞 오랜 시간 나눌 기억과 공간이 지금·여기, <strong class=""hl"">서울거리예술축제 2019</strong>에서 펼쳐진다! 서울거리예술축제로 빛날...</dd>"," <dd>올해 <strong class=""hl"">축제</strong> 주빈국은 스리랑카로, 개막식과 주빈국 특별공연에 스리랑카 국립청소년<strong class=""hl"">예술</strong>단과... 아울러 <strong class=""hl"">축제</strong>기간 동안 행사장 곳곳에서 프린지공연, 프리마켓, 길<strong class=""hl"">거리</strong>음식<strong class=""hl"">축제</strong>, 참가국별 체험부스 등을 매일 운영하고, 초...</dd>"
7,"2019 서울
서커스페스티벌
'서커스 캬바레'"," <dd class=""sh_blog_passage"">오래전 솟대쟁이패가 시간을 거슬러 <strong class=""hl"">2019</strong>년 <strong class=""hl"">서울</strong>에 와 있는 것 같은 놀이판에... 사람들 <strong class=""hl"">서울 서커스 페스티벌</strong>은 &lt;<strong class=""hl"">서커스 캬바레</strong>&gt;에 이어 5월 한 달간 주말마다...</dd><dd class=""sh_blog_passage"">(행사의 정식 이름은 <strong class=""hl"">2019 서울 서커스 페스티벌</strong> &lt;<strong class=""hl"">서커스 캬바레</strong>&gt;입니다) 그래서 정말!!!! 다녀왔습니다. 한창 시험 준비 중인 청소년 큰 아이는 떼어두고, 어린이인...</dd>"," <dd><strong class=""hl"">서울</strong>시는 어린이날 연휴인 4~6일 문화비축기지에서 ‘<strong class=""hl"">2019 서울 서커스 페스티벌</strong>-<strong class=""hl"">서커스 캬바레</strong>’를 연다고 2일 밝혔다. <strong class=""hl"">서커스 캬바레</strong>는 <strong class=""hl"">서울</strong>시가 지난해 <strong class=""hl"">서커스</strong> 탄생 250주년을 기념해 개최한 국내 유일의...</dd>"
8,서울빛초롱축제," <dd class=""sh_blog_passage"">겨울의 시작을 알리는 서울 대표 문화관광축제 2019 <strong class=""hl"">서울빛초롱축제</strong> 당신의 서울... 올해는 특별하게 '동화' 속 주인공들을 축제에 초대해 새로운 콘셉트의 빛초롱축제...</dd><dd class=""sh_blog_passage"">2019 <strong class=""hl"">서울 빛초롱 축제</strong>는 지난 9년간 서울의 오랜 역사와 문화를 담아왔다고 합니다. 10주년을 맞이한 이번 축제는 지나온 길을 뒤돌아보고 새롭게 시작하는 자리라고...</dd>"," <dd>이번 주 금요일(1일) 초겨울의 분위기를 제대로 느낄 수 있는 '<strong class=""hl"">서울 빛초롱축제</strong>'가 열린다. 서울시는 다음 달 1일부터 17일까지 청계천 광장부터 수포교까지 약 1.2km 구간을 화려한 등블로 장식하는 '219 <strong class=""hl"">서울 빛초롱 축제</strong>...</dd><dd>11월 1일부터 17일까지는 청계광장~수표교 구간에서 <strong class=""hl"">서울빛초롱축제</strong>가 열려 오색찬란한 등빛이 빛나며 멋진 야경을 창조해낸다. 서울의 진산인 북산한에 단풍이 절정에 이르는 시기는 오는 29일로 예상된다....</dd><dd>= 다음 달, 깊어가는 서울의 가을밤을 화려하게 수놓는 '빛의 향연'이 펼쳐진다.최근 <strong class=""hl"">서울빛초롱축제</strong>조직위원회는 오는 11월 1일부터 17일까지 청계천에서 '2019 <strong class=""hl"">서울빛초롱축제</strong>'가 열린다고 밝혔다.축제 기간 이곳을...</dd><dd>△안동국제탈춤페스티벌 △서울세계불꽃축제 △이태원 지구촌축제 △<strong class=""hl"">서울빛초롱축제</strong>가 그것이다. 안동국제탈춤페스티벌은 한국 전통춤임에도 불구하고 해외 12개국의 탈춤공연을 만나 볼 수 있을 뿐만 아니라...</dd><dd><strong class=""hl"">서울 빛초롱 축제</strong> 서울의 꿈, 빛으로 흐르다. 빛의 길을 따라 시간여행을 떠나자! 도시의 밤하늘을... 24 주소    서울특별시 마포구 하늘공원로 95 이용요금    무료 진주남강유등축제 물과 빛, 그리고 우리의...</dd><dd>2019 <strong class=""hl"">서울빛초롱축제</strong>는 11월 1일부터 17일까지 청계천에서 열립니다. 마지막으로 11월 1일부터 2일에는 송파구 석촌호수 일대에서 단풍축제가 열리는데요. 특별히 올해는 가을을 만끽 할 수 있는 책 관련 전시와 체험행사도...</dd><dd>출처: <strong class=""hl"">서울 빛초롱 축제</strong> 홈페이지, 2019 가을 축제 <strong class=""hl"">서울 빛초롱 축제</strong> 3. <strong class=""hl"">서울 빛초롱 축제</strong> 2019 매년 가을이 되면, 화려한 등불이 청계천 일대의 밤을 밝히며 로맨틱한 분위기를 자아낸다. '<strong class=""hl"">서울 빛초롱 축제</strong>'라는 이름으로...</dd><dd>밝히면서 <strong class=""hl"">축제</strong> 분위기를 더욱 끌어올립니다. 특히 한지 청사<strong class=""hl"">초롱</strong>등을 직접 만들고 소원등을 달아보는 체험은... "" 달빛 골짜기라는 의미를 지닌 <strong class=""hl"">서울</strong> 월곡동을 배경으로 '달'과 '<strong class=""hl"">빛</strong>'을 주제로 펼쳐진 '제3회 월곡 달빛<strong class=""hl"">축제</strong>...</dd><dd>주민들이 <strong class=""hl"">초롱</strong>을 들고 풍납토성 둘레길을 걷는 행사로 <strong class=""hl"">축제</strong>는 막을 내린다. 강동구는 11일부터 13일까지... 근대 역사의 산실인 정동은 10월 한 달간 <strong class=""hl"">축제</strong>로 물든다. <strong class=""hl"">서울</strong>시가 대한제국 선포일(1897년 10월12일)을 기념해...</dd>"
9,불광천벚꽃축제," <dd class=""sh_blog_passage"">4월 5일 (금)부터 6일 (토)까지 벚꽃길 불광천에서 열린 ""2019. 제8회 벚꽃축제""의 둘째 날의 생생한 축제 현장의 모습을 제가 담아왔습니다! 개청 40주년 <strong class=""hl"">불광천 벚꽃축제</strong>...</dd><dd class=""sh_blog_passage"">마침 오늘은 &lt;<strong class=""hl"">불광천 벚꽃 축제</strong>&gt; 날이다. 응암역에서 증산역까지(아래 지도 별표 구간) 불광천변에 벚꽃이 절정이라고 한다. 우리는 버스를 타고 DMC 정류장에서 내려...</dd>"," <dd>또 <strong class=""hl"">불광천</strong>은 매년 <strong class=""hl"">벚꽃축제</strong>를 할 만큼 <strong class=""hl"">벚꽃</strong>으로도 유명한데, 참여예산사업으로 이 <strong class=""hl"">벚꽃</strong>길 구간에 야간 조명을 설치하여 더 아름다운 <strong class=""hl"">벚꽃</strong>길을 만들어냈다. 이처럼 많은 주민제안을 통해 <strong class=""hl"">불광천</strong>은 더 멋진 변신을 거듭하고...</dd><dd>▲사진= 은평구 은평구는 5일과 오는 6일 이틀간 <strong class=""hl"">불광천 벚꽃축제</strong>와 연계한 ‘2019년 전통시장 봄나들이 소풍’ 행사를 개최한다고 밝혔다. 이번 행사에서는 <strong class=""hl"">불광천 벚꽃축제</strong> 행사장 내 ‘함께 나누는 은평구 zone’에...</dd>"
10,은평누리축제," <dd class=""sh_blog_passage"">은평구의 자랑! <strong class=""hl"">은평누리축제</strong>가 10월 3일부터 5일까지 진행되었는데요. 저는 마지막... 늘 은평구에 축제가 있을 때 마다 빼 놓지 않고간식을 사 먹었는데 이상하게 이...</dd><dd class=""sh_blog_passage""><strong class=""hl"">은평누리축제</strong> 축제의 광장에는 축제 종합안내소가 마련되어 있었구요. <strong class=""hl"">은평누리축제</strong>에서 즐길 수 있는 운영존 여울누리! 다양성존 즐거우리! 체험존 먹거리존...</dd>"," <dd>서울 은평구(구청장 김미경)는 구와 은평문화재단, 2019 <strong class=""hl"">은평누리축제</strong> 추진위원회가 공동 주관하는 '2019 <strong class=""hl"">은평누리축제</strong>'를 다음달 3일부터 5일까지 3일간 개최한다고 27일 밝혔다. '어울누리! 즐거우리! 함께하리!'의 주제로...</dd>"
11,북한산한문화페스티벌," <dd class=""sh_blog_passage""><strong class=""hl"">북한산 한문화 페스티벌</strong> 통일로 가는 길, 은평에서 열리는 한문화 체험 축제 일시 2019.09.07.(토) 오전 10시 / 축하공연 18시 장소 북한산성 제1주차장 축하공연...</dd><dd class=""sh_blog_passage"">가을축제 ‘<strong class=""hl"">북한산한문화페스티벌</strong>’이 6일과 7일 이틀간 북한산국립공원... 특히 축제의 고유한 주제인 한문화를 경험할 수 있는 민속놀이, 사찰음식 시음, 개화기...</dd>"," <dd>서울 은평구는 이번 주말 제13호 태풍 링링이 북상할 것으로 예보되면서 '<strong class=""hl"">북한산한문화페스티벌</strong>'을 잠정 연기하기로 했다고 밝혔습니다. <strong class=""hl"">북한산한문화페스티벌</strong>이 열릴 예정이었던 7일(토)에 태풍의 직접적인 영향권에...</dd><dd>"" 한복과 전통놀이 등 한국의 문화를 체험하고 대중 문화를 한 자리에서 만나는 <strong class=""hl"">북한산한문화페스티벌</strong>. 서울의 대표 한문화 관광 축제로 자리 잡았습니다. 헬로TV뉴스 심다혜입니다. ▶ 가장 빠르고 정확한 지역 소식...</dd><dd><strong class=""hl"">북한산 한문화 페스티벌</strong>이 한글날인 9일 북한산성 주차장에서 열립니다. <strong class=""hl"">북한산 한문화 페스티벌</strong>은 지난달 열릴 계획이었으나 태풍으로 연기돼 한글날에 열리게 됐는데요 축제는 조선시대 개화기 의상 체험 전통놀이...</dd><dd>은평구(구청장 김미경)는 9일 <strong class=""hl"">북한산 한문화 페스티벌</strong>에서 지역사회에 청렴문화 확산을 위한 청렴 홍보부스를 운영했다. 이번 행사는 감사담당관 직원 뿐 아니라 은평구 시설관리공단, 서부 녹색어머니회 등 반부패...</dd><dd>'<strong class=""hl"">북한산 한문화페스티벌</strong>'은 ▲조선시대와 개화기 의상 복식체험 ▲북한 생활문화 체험 ▲전통놀이 체험 등으로 구성됐다. 다양한 축하 공연도 준비돼 있다. 서울섹소폰오케스트라, 뮤직스와니오케스트라...</dd><dd>한옥마을 역사한옥박물관 전통한옥홍보관 <strong class=""hl"">북한산한문화페스티벌</strong> 진관사한문화체험 북한산너나들이센터 등 진관동 특구 시설과 컨텐츠는 대부분 갖춰져있다. 2015년 특구로 지정된 이후 역사한옥박물관과 한옥마을...</dd><dd>지난 9일 <strong class=""hl"">북한산 한문화 페스티벌</strong> 현장에서는 서부녹색어머니회와 은평구시설관리공단 등과 함께 청렴마을 은평거버넌스 홍보부스를 운영했다. 특히 '청렴 일등구 은평'을 위한 구민들의 정책제언을 위해 제작한 ""은평구...</dd><dd>지난 3월 26일 세계기자대회 시 방문한 진관사, 은평한옥마을, 은평역사한옥박물관 등이 언론에 크게 노출됨으로써 많은 국내·외 관광객을 유치하고, <strong class=""hl"">북한산 한문화페스티벌</strong>을 통해 도심 관광지로서의 구를 빠르게...</dd>"
