,0,블로그 크롤링 결과,뉴스 크롤링 결과
76,제7회 도심 속 바다축제," <dd class=""sh_blog_passage"">12일과 13일 양일간 노량진수산시장 일대에서 ‘<strong class=""hl"">제7회 도심 속 바다축제</strong>’를 개최했다. 도심 속 바다축제는 매회 35여만명의 방문객이 찾는 서울의 대표축제이다. 국내...</dd><dd class=""sh_blog_passage"">매년 노량진수산시장에서 열리는 도심속바다축제가 올해로 7번째를... https://www.dof.or.kr/blank-16 참여 프로그램 | <strong class=""hl"">제7회 도심속바다축제</strong> 참여 프로그램 노량진...</dd>"," <dd>몽고식품(대표 황을경)은 ""동작구에서 오는 12일~13일 동안 개최된 노량진 수산시장의 '<strong class=""hl"">제 7회 도심 속 바다축제</strong>'에 몽고간장 선물세트를 공식 후원했다""라고 밝혔다. 2011년부터 개최되고 있는 '<strong class=""hl"">도심 속 바다축제</strong>'는 '서울...</dd><dd>수협노량진수산(주)(대표이사 안재문)가 노량진 수산시장에서 개최한 ‘<strong class=""hl"">제7회 도심 속 바다축제</strong>’에 35만명여명의 인파가 몰려 성황을 이뤘다. ‘<strong class=""hl"">제7회 도심 속 바다축제</strong>’는 ‘<strong class=""hl"">바다</strong>, 다시 태어나다’라는...</dd><dd>수협노량진수산주식회사(대표이사 안재문)는 지난 12~13일 서울 동작구 노량진수산시장에서 열린 '<strong class=""hl"">제7회 도심 속 바다축제</strong>'에 약 35만 명의 인파가 참여한 가운데 성공적으로 행사를 마쳤다고 16일 밝혔다. 구시장 상인들의...</dd><dd>12일 동작구 노량진 수산시장에서 열린 <strong class=""hl"">제7회 도심 속 바다축제</strong>를 찾은 시민들이 야외에 마련된 먹거리 장터에서 신선한 해산물 요리를 즐기고 있다. (동작구청 제공) 2019.10.15/뉴스1</dd><dd>고려직업전문학교(이하 고려전) 호텔조리전공 학생들이 지난 10월 12일 토요일 노량진 수산시장에서 열린 ‘<strong class=""hl"">제 7회 도심속 바다축제</strong>, 수산시장을 부탁해’의 전국 수산물 요리경연대회에서 유승우, 김지훈 학생이...</dd><dd>13일 서울 동작구 노량진 수산시장에서 열린 <strong class=""hl"">제7회 도심속바다축제</strong>에서 시민들이 야외식당에서 신선한 해산물 요리를 즐기고 있다. 2019.10.13</dd>"
77,"제2회 노량진의 밤 
야간난전"," <dd class=""sh_blog_passage""><strong class=""hl"">제2회 노량진의 밤</strong>, <strong class=""hl"">야간난전</strong> 행사기간 : 2019.06.21(금) ~23(일) 18:00~22:00 - 3일간 장소 : 컵밥거리~ 만양로 일대 주최 : 야간난전 주민협의체 후원 : 서울특별시, SUAVISS, TRAVEL...</dd><dd class=""sh_blog_passage"">오늘은 <strong class=""hl"">노량진</strong> <strong class=""hl"">야간난전</strong> 소식을 전해드리려합니다. 거의 보름이 지났을 정도로 시간이 꽤 흘렀네요. 지난 6월 달에 있었던 일입니다. 지나가는 길에 시끄러운...</dd>"," <dd>［메디컬투데이 이한솔 기자］ 동작구가 오는 21일부터 23일까지 3일간 노량진 컵밥거리와 만양로 일대에서 ‘<strong class=""hl"">제2회 노량진의 밤</strong>, <strong class=""hl"">야간난전</strong>’을 개최한다고 13일 밝혔다. 올해로 2회째를 맞는 ‘노량진의 밤, 야간난전’은...</dd><dd>서울 동작구(구청장 이창우)는 21일부터 23일까지 노량진 컵밥거리와 만양로 일대에서 '<strong class=""hl"">제2회 노량진의 밤</strong>, <strong class=""hl"">야간난전</strong>'을 개최한다고 13일 밝혔다. 올해로 2회째를 맞는 '노량진의 밤, 야간난전'은 노량진 컵밥거리와 주변...</dd><dd>동작구가 21일부터 23일까지 3일간 노량진 컵밥거리와 만양로 일대에서 '<strong class=""hl"">제2회 노량진의 밤</strong>, <strong class=""hl"">야간난전</strong>'을 개최한다. 지난해 행사장 모습. 사진=동작구 제공  동작구(구청장 이창우)가 21일부터 23일까지 3일간 노량진...</dd><dd>▲사진= <strong class=""hl"">제2회 노량진의 밤</strong>. <strong class=""hl"">야간난전</strong> 포스터 동작구가 오는 21일부터 23일까지 3일간 노량진 컵밥거리와 만양로 일대에서 ‘<strong class=""hl"">제2회 노량진의 밤</strong>, <strong class=""hl"">야간난전</strong>’을 개최한다고 밝혔다. 올해로 2회째를 맞는 ‘노량진의 밤...</dd><dd>업코리아, UPKOREA ▲ <strong class=""hl"">제2회 노량진의 밤</strong>. <strong class=""hl"">야간난전</strong> 포스터 [업코리아] 동작구가 오는 21일부터 23일까지 3일간 노량진 컵밥거리와 만양로 일대에서 '<strong class=""hl"">제2회 노량진의 밤</strong>, <strong class=""hl"">야간난전</strong>'을 개최한다고 밝혔다. 올해로 2회째를 맞는...</dd><dd>동작구(구청장 이창우)가 오는 21일(금)부터 23일(일)까지 3일간 노량진 컵밥거리와 만양로 일대에서 ‘<strong class=""hl"">제2회 노량진의 밤</strong>, <strong class=""hl"">야간난전</strong>’을 개최한다고 밝혔다. 올해로 2회째를 맞는 ‘노량진의 밤, 야간난전’은 노량진...</dd><dd>출처 : 동작구, <strong class=""hl"">제2회 노량진의 밤</strong>. <strong class=""hl"">야간난전</strong> 동작구가 오는 21일부터 23일까지 3일간 노량진 컵밥거리와 만양로 일대에서 '<strong class=""hl"">제2회 노량진의 밤</strong>, <strong class=""hl"">야간난전</strong>'을 개최한다고 밝혔다. 올해로 2회째를 맞는 '노량진의 밤, 야간난전...</dd>"
78,금천하모니벚꽃축제2019," <dd class=""sh_blog_passage"">지하철역 가는 길 보이는 <strong class=""hl"">벚꽃</strong>은 <strong class=""hl"">금천 하모니 벚꽃축제</strong>를 가려는 길이 너무도 길게 느껴질 만큼 예쁘게 늘어선 길이에요. 친구가 늦는 바람에 시간도 많이 남겠다 결국...</dd><dd class=""sh_blog_passage"">주최하고, ‘금천하모니벚꽃축제거버넌스’가 주관하는 ‘제15회 <strong class=""hl"">금천하모니벚꽃축제 2019</strong>’가 4월 5일~6일까지 금천구청과 안양천 일대에서 개최된다. 이번 축제는...</dd>"," <dd>4월 5일부터 6일까지 <strong class=""hl"">금천</strong>구청, 안양천변 일대에서 개최되는 '<strong class=""hl"">금천하모니벚꽃축제2019</strong>' 개막식 주제공연 이미지  <strong class=""hl"">금천</strong>구(구청장 유성훈)와 <strong class=""hl"">금천</strong>문화재단(대표이사 정재왈) 공동으로 주최하고...</dd>"
79,"정조대왕 능행차 
공동재현 행사"," <dd class=""sh_blog_passage"">올해로 4회째를 맞는 <strong class=""hl"">정조대왕 능행차 공동재현 행사</strong>는 즉위 10년 해인 1795년... 시민참여가 함께해 더 뜻깊었던 2019 정조대왕 능행차 공동재현. 2020년 행사 때는...</dd><dd class=""sh_blog_passage"">왕의 <strong class=""hl"">행차</strong>에 많은 인력과 경비가 들었지만 백성들의 억울함을 들어주는 격쟁을... 올해 4회를 맞는 <strong class=""hl"">정조대왕 능행차</strong> <strong class=""hl"">재현행사</strong>는 서울, 수원, 화성이 <strong class=""hl"">공동 재현</strong>하며...</dd>"," <dd><strong class=""hl"">정조대왕 능행차 공동재현 행사</strong> 당일 서울과 수원, 화성시내 일부 구간에 대한 교통통제로 교통혼잡이 예상된다. 시는 통제구간 주변에 교통통제와 우회안내 입간판, 현수막 설치, 교통경찰, 모범운전자 등을 배치해...</dd>"
80,제9회 금천구 북페스티벌," <dd class=""sh_blog_passage"">광장에서 ‘<strong class=""hl"">제9회 금천구</strong> 도서관 <strong class=""hl"">북페스티벌</strong>(Book Festival)’을 개최합니다. ‘<strong class=""hl"">금천구</strong> 도서관 <strong class=""hl"">북페스티벌</strong>’은 도서관 이용을 활성화하고 도서관의 역할과 필요성을...</dd><dd class=""sh_blog_passage""><strong class=""hl"">제9회 금천구</strong>립도서관 <strong class=""hl"">북페스티벌</strong> 기억해야 할 독립운동가 6월 1일(토) <strong class=""hl"">금천구</strong>청 앞 광장에서 '<strong class=""hl"">제9회 금천구</strong>립도서관 <strong class=""hl"">북페스티벌</strong>'이 열렸습니다. 말 그대로 광장에...</dd>"," <dd>재단법인 금천문화재단이 다음달 1일 오전 10시 <strong class=""hl"">금천구</strong>청 광장에서 '<strong class=""hl"">제9회 금천구</strong> 도서관 <strong class=""hl"">북페스티벌</strong>'을 개최한다. 사진=<strong class=""hl"">금천구</strong> 제공  재단법인 금천문화재단(대표이사 정재왈)이 다음달 1일 오전 10시 <strong class=""hl"">금천구</strong>청...</dd>"
81,제10회 동화 속 책잔치," <dd class=""sh_blog_passage"">^^ 벌써 파주 <strong class=""hl"">책잔치</strong>가 올해로 열번째 큰 <strong class=""hl"">잔치</strong>가 되었더라구요. ㅎㅎㅎ 이렇게... 바로 그 강아지똥을 쓴 권정생 선생님의 <strong class=""hl"">동화</strong>나라 책이 반값에 팔길래 시은이 보여주고...</dd><dd class=""sh_blog_passage"">도봉한글<strong class=""hl"">잔치</strong> 10.8~10.9 (2 일간 ) ○ 백일장 , 미술대회 , 창작뮤지컬 공연 등 ○ 부대행사 : 체험 , 전시 방학동 원당샘공원 시자체 동물원 <strong class=""hl"">속</strong> 미술관 10.9.~10.20. (12 일간...</dd>"," <dd>■ 파주출판도시 어린이 <strong class=""hl"">책잔치</strong> 2016 경기도 파주시 / 2016.05.05 ~ 2016.05.08 국내 최대 규모의 어린이 도서잔치로서 어린이 백일장, 창작 그림책 공모전, 그림<strong class=""hl"">동화</strong> 공모전 등 다채로운 프로그램을 진행하고 있다....</dd><dd>글짓기에 관한 어린이들의 관심을 높이는 ‘어린이 백일장’, 한쪽 그림<strong class=""hl"">동화</strong> 공모전, 과학기술도서 독후감... 특히 이번 <strong class=""hl"">제10회</strong> 어린이 <strong class=""hl"">책 잔치</strong>는 처음으로 야간 행사를 진행한다. ‘5월의 핼러윈’이라는 이름으로...</dd><dd><strong class=""hl"">동화 속</strong> 주인공을 인형으로 만나보는 문화행사가 마련된다. 부산 민주공원은 5~11일 한 주 동안 공원 일대에서 김향이 <strong class=""hl"">동화</strong>작가 인형 전시회와 함께 <strong class=""hl"">제10회</strong> 어린이 <strong class=""hl"">책잔치</strong>를 연다. 10~11일 이틀 동안 △어울리며 함께하는...</dd>"
82,금천생활문화축제 엄청나," <dd class=""sh_blog_passage""><strong class=""hl"">금천</strong>구 <strong class=""hl"">생활문화축제</strong> &lt;<strong class=""hl"">엄청나</strong>&gt; 전시 ⠀ 2017-2018년도에 이어 세 번째로 열리는 <strong class=""hl"">금천</strong>구 <strong class=""hl"">생활문화축제</strong> &lt;<strong class=""hl"">엄청나</strong>&gt; 전시가 10월 4일(금)부터 8일(화)까지 금나래아트홀...</dd><dd class=""sh_blog_passage"">또한 이들은 11월에 진행될 <strong class=""hl"">생활문화축제</strong> ‘<strong class=""hl"">엄청나</strong>’는 물론, 내년 4월에 진행되는 ‘<strong class=""hl"">금천</strong>하모니벚꽃<strong class=""hl"">축제</strong>’의 주요 참여자로 활동할 기회가 제공됩니다. 마지막으로 올...</dd>"," <dd>이들은 2019년 <strong class=""hl"">금천생활문화축제</strong> '<strong class=""hl"">엄청나</strong>'를 함께 만들어 나갈 예정이다. <strong class=""hl"">금천생활문화축제</strong>는 오는 10월과 11월, 2회에 걸쳐 개최된다. 자세한 사항은 <strong class=""hl"">금천</strong><strong class=""hl"">문화</strong>재단 홈페이지(www.gcfac.or.kr)를 확인하거나...</dd>"
83,사회적경제한마당," <dd class=""sh_blog_passage"">춘천시청 분수광장에서 열린 2019 춘천 <strong class=""hl"">사회적경제 한마당</strong> 축제 춘천에서 열린 2019... 아니라 사회적경제 영역의 제품을 구입하는 것은 우리 삶을 좀 더 지속 가능하게...</dd><dd class=""sh_blog_passage"">요즘은 지역화폐도 많이 사용을 한다고 하는데 구로만의 특색 있는 지역화폐를 만들어 <strong class=""hl"">사회적경제 한마당</strong>에서 사용을 해본다면 사회적경제의 취지와도 잘...</dd>"," <dd>2019년도 연수구 <strong class=""hl"">사회적경제 한마당</strong>  인천 연수구(구청장 고남석)는 '2019 연수구 <strong class=""hl"">사회적경제 한마당</strong>'을 지난 24일 연수구 스퀘어원 임시행사장에서 충남사회적경제와 함께하는 도·농 교류 한마당으로 운영했다고 28일...</dd><dd>활동가, <strong class=""hl"">사회적경제</strong>조직, 지역민 등 전국 도시재생 관계자들이 한자리에 모여 뉴딜 정책의 성과를 공유하고 소통하는 기회가 됐다. 도시재생<strong class=""hl"">한마당</strong> (허석 순천시장,김현미 국토교통부 장관,김영록 도지사) 이번 행사는...</dd>"
84,응봉산개나리축제," <dd class=""sh_blog_passage"">본 응봉산. 이쪽 말고 다른 쪽이 더 노랑노랑했는데 신호 대기 할때 찍느라... 혹시 개나리는 어디서 축제 안하나~하고 찾아봤더니 이렇게 <strong class=""hl"">응봉산 개나리축제</strong>가 떡~하니...</dd><dd class=""sh_blog_passage"">2019 서울 <strong class=""hl"">응봉산 개나리축제</strong> 주차장, 가는길 정보 (3월 26일에 직접 다녀왔어요)... 개나리축제 현장에요.. ㅎㅎㅎ 응봉산은 서울 성동구에 위치한 곳이예요. 대중교통을...</dd>"," <dd><strong class=""hl"">응봉산</strong>은 중랑천이 한강과 합류하는 입지여건으로 인해 한강조망 포인트로서도 유명하며 특히 봄철 <strong class=""hl"">개나리축제</strong>를 통해 많은 시민들이 즐겨 찾는 관광명소다. 한편 정월 대보름에 주민들이 이곳에 올라가 달을 맞이했다는...</dd><dd>성동구(구청장 정원오)는 봄의 전령사 노란색 개나리가 아름답게 핀 응봉산에서 오는 3월 29일부터 31일까지 ‘제22회 <strong class=""hl"">응봉산 개나리 축제</strong>’를 개최한다. 구는 이번 축제 주제를 ‘환경과 미래, 응봉산과 지구를 잇다’로...</dd>"
85,태조이성계축제," <dd class=""sh_blog_passage""><strong class=""hl"">태조 이성계 축제</strong> : 성동구 살곶이다리 다녀온 후기! 안녕하세요~! 오늘은 성동구의... 축제의 주인공 태조 이성계가 등장합니다 뒤에 비서와 보디가드도 동행하는...</dd><dd class=""sh_blog_passage"">지난해 <strong class=""hl"">태조 이성계 축제</strong> 현장 지난해 살곶이 다리에서 열린 ‘2018 태조 이성계... 여는 축제는 구민의 날을 기념하는 성동구민대상 시상식과 이성계가 사냥행차를...</dd>"," <dd>서울 성동구(구청장 정원오)는 28일 구의 대표적인 문화재인 살곶이다리에서 '<strong class=""hl"">태조 이성계 축제</strong>'를 연다고 25일 밝혔다. <strong class=""hl"">태조 이성계 축제</strong>는 보물 제1738호 '살곶이다리'와 이곳에서 사냥을 즐기던 '<strong class=""hl"">이성계</strong>'라는 역사적...</dd>"
86,석촌호수 벚꽃축제," <dd class=""sh_blog_passage""><strong class=""hl"">석촌호수 벚꽃축제</strong> 서울 데이트하기 좋아요. 4월도 어느새 중반으로 달리고... 여의도 벚꽃축제는 첫날 다녀왔고 석촌호수는 마지막 전날에 다녀왔는데요. 잔잔한 호수...</dd><dd class=""sh_blog_passage"">석촌호수 지도 / 제가 돌아본 경로입니다. 지도 저장해서 벚꽃축제 즐기면 더 좋아요 :) 제가 샤롯데씨어터 쪽에서부터 2019 <strong class=""hl"">석촌호수 벚꽃축제</strong>를 즐기기 시작한 건 바로...</dd>"," <dd>송파구 잠실관광특구는 롯데월드·<strong class=""hl"">석촌호수</strong>·방이맛골·올림픽공원을 아우르는 지역으로 매년 <strong class=""hl"">벚꽃축제</strong>, 단풍낙엽<strong class=""hl"">축제</strong>, 한성백제 문화재 행사 등 다양한 페스티벌이 개최된다. 롯데면세점은 관광특구 내 음식점을...</dd><dd><strong class=""hl"">석촌호수</strong>는 해마다 <strong class=""hl"">벚꽃 축제</strong>로 많은 사람들이 찾는 곳이기도 하다. 이번 추석 보름달은 18시 37분에 볼 수 있다. ---------------------------- 추석, 보름달 뜨는 시간은? 서울- 아차산, 남산공원, 하늘공원, 낙산공원, 매봉산...</dd><dd>핑크빛 <strong class=""hl"">벚꽃</strong>이 팡팡 터지기 시작한 '<strong class=""hl"">석촌호수 벚꽃축제</strong>'로 사람들이 몰려들었다.7일 서울 송파구 잠실동 <strong class=""hl"">석촌호수</strong>에서는 <strong class=""hl"">벚꽃</strong>을 보기 위한 수많은 인파가 모였다. 그야말로 발 디딜 틈이 없는 상황이다.마치 놀이공원을...</dd>"
87,한성백제문화제," <dd class=""sh_blog_passage"">2019 <strong class=""hl"">한성백제문화제</strong>에 다녀오다. 송파에 살다보면 일년에 크게 두 번정도 큰 행사가... 정문 입구 주변부는 이미 각종 등불이랑 백제의 모습을 연상할 수 있는 설치대등이...</dd><dd class=""sh_blog_passage"">거리&gt; <strong class=""hl"">한성백제문화제</strong>를 올바로 이해하기 위해 한성시기의 백제를 잘 알아둘... 웅진과 사비시대에 대한 내용은 '제 65회 백제문화제'가 열리는 공주, 부여의 행사를...</dd>"," <dd>업코리아, UPKOREA 2019<strong class=""hl"">한성백제문화제</strong>_역사거리문화행렬  송파구(구청장 박성수)의 '<strong class=""hl"">한성백제문화제</strong>'가 축제의 오스카상으로 불리는 「2019 피나클어워드」에서 8년 연속 수상의 쾌거를 얻었다. 구의 대표 축제인...</dd><dd>송파구(구청장 박성수)의 '<strong class=""hl"">한성백제문화제</strong>'가 축제의 오스카상으로 불리는 「2019 피나클어워드」에서 8년 연속 수상의 쾌거를 얻었다. 구의 대표 축제인 '<strong class=""hl"">한성백제문화제</strong>'는 지난 9월 25일 미국 버지니아주...</dd>"
88,석촌호수 단풍&낙엽축제," <dd class=""sh_blog_passage"">ㅋㅋㅋㅋ 걸어가면서 열심히 메탕을 잡았구요, 틈틈이 주변의 <strong class=""hl"">석촌호수 단풍</strong>을... 약간씩 석촌호수도 단풍들이 더 잘드는 곳이 있는것 같아요! 제가 걸어왔던 곳보다는...</dd><dd class=""sh_blog_passage"">2019 석촌호수 더북 &amp; 단풍축제 포스터입니다 지난주에 갔을 땐 위례가족음악회와... 오늘은 단풍축제 포스터가 붙어있더라구요 작년에 포스팅 했던 <strong class=""hl"">석촌호수 단풍</strong>...</dd>"," <dd>또 지역주민 50팀이 참여해 도서를 판매하는 ‘더북 플리마켓’과 페이스북, 인스타그램 등 자신의 SNS을 통해 <strong class=""hl"">석촌호수</strong> 더북&amp;<strong class=""hl"">단풍</strong>축제를 알리면 무료로 인생사진을 찍어주는 ‘천막사진관’ 등도 주목할 만 하다....</dd>"
89,오금동 성내천축제," <dd class=""sh_blog_passage"">11번째 맞이하는 <strong class=""hl"">오금동 성내천 축제</strong>는 해를 거듭할수록 주민 중심의 다양한 프로그램을 마련하여, 오금동 뿐만 아니라 성내천 인근 주민들 모두가 참여하고 즐기는...</dd><dd class=""sh_blog_passage""><strong class=""hl"">오금동 성내천축제</strong> 포토존대여 시공사례 안녕하세요~ 대한민국 No.1 빛 콘텐츠... 성내천축제 콘텐츠 내 벚꽃포 토존과 물빛다리조 명이 완성되며 방문객들의 반응도...</dd>"," <dd>서울 송파구(구청장 박성수)는 13~14일 성내천 물빛광장 일대에서 '제12회 <strong class=""hl"">오금동 성내천 축제</strong>'를 연다. 12일 구에 따르면 성내천은 송파구 마천동과 거여동, 오금동을 거쳐 한강으로 흐르는 자연생태 하천이다. 산책로와...</dd>"
90,제21회 서울 드럼 페스티벌," <dd class=""sh_blog_passage"">서울드럼페스티벌 서울광장에서 만나요~ <strong class=""hl"">제 21회 서울드럼페스티벌</strong> 2019.05.24(금)~25(토) / 서울광장 http://blog.seoul.go.kr/221543105168 [5월 서울 축제] 2019 서울드럼페스티벌!...</dd><dd class=""sh_blog_passage"">서울드럼페스티벌 공연 서울시가 오는 5월 24일~25일 서울광장에서 ‘<strong class=""hl"">제21회 서울드럼페스티벌</strong>’을 개최하고 축제 주요프로그램인 전국드럼경연대회 ‘더 드러머...</dd>"," <dd>악기 및 음향 전문기업 야마하뮤직코리아(대표 사이토 요이치로)가 ‘<strong class=""hl"">제21회 서울드럼페스티벌</strong>’ 메인 협찬사로 참여한다. 야마하뮤직코리아는 오는 24일부터 이틀간 서울 광장에서 열리는 ‘<strong class=""hl"">제21회 서울드럼페스티벌</strong>’...</dd><dd>세계적인 악기 및 음향 전문기업 야마하뮤직코리아(대표 사이토 요이치로)는 ‘<strong class=""hl"">제21회 서울드럼페스티벌</strong>’ 메인 협찬사로 참여한다고 13일 밝혔다. 서울시 대표축제 ‘<strong class=""hl"">제21회 서울드럼페스티벌</strong>’은 오는 24일부터...</dd><dd>24일 서울시에 따르면 <strong class=""hl"">제21회 서울드럼페스티벌</strong>은 5월24~25일 서울광장에서 열린다. 25일부터 축제의 주요프로그램 전국드럼경연대회 더 드러머 참가자를 모집해 올해 서울드럼페스티벌의 시작을 알릴 예정이다....</dd><dd>각 부문에서 수상한 총 17팀에게는 5월 24일(금) 열리는 &lt;<strong class=""hl"">제21회 서울드럼페스티벌</strong>&gt; 메인무대에서 연주할 수 있는 기회가 주어지며, 국ㆍ내외 유명 드러머들과 함께 소통할 수 있는 '드럼페스티벌 네트워크 파티'에...</dd><dd>수상팀에게는 5월 24일 서울광장에서 열리는 <strong class=""hl"">제21회 서울드럼페스티벌</strong> 메인무대에 설 기회가 주어진다. 참가 신청은 서울드럼페스티벌 홈페이지(www.seouldrum.go.kr)에서 할 수 있다. (서울=연합뉴스)</dd><dd>오는 24, 25일 양일간 서울광장에서 열리는 <strong class=""hl"">제21회 서울드럼페스티벌</strong>(서드페)에 크리스 콜먼이 메인 무대를 장식한다. 서울시가 주최하고 코스모스악기, 야마하뮤직 등이 협찬하는 이번 서울드럼페스티벌에서 크리스...</dd>"
91,2019 서울 문화로 바캉스," <dd class=""sh_blog_passage""><strong class=""hl"">2019</strong> 중국 흑룡강성 (<strong class=""hl"">서울</strong>) <strong class=""hl"">문화</strong>관광 설명회 북방의 아름다운 풍경은 모두 헤이룽장... 스키여행 <strong class=""hl"">바캉스</strong>, 환상적인 설경 등을 비롯해 태양도에서는 세계 최대 규모의...</dd><dd class=""sh_blog_passage"">2019 서울 문화축제 일정 시군구명 축제명 2019 년 개최기간 축제주요내용... 시자체 <strong class=""hl"">2019 서울 문화로 바캉스</strong> 8.10~8.11 (2 일간 ) ○ 영화음악제 ○ 디자인그래픽 경연...</dd>"," <dd>이어 전 출연진이 무대에 나서 ‘부산 <strong class=""hl"">바캉스</strong>’로 공연의 대미를 장식하며 열정을 발산 시켰다. K-POP의... (C) 배종태 기자 '아스트로'는 제 24 회 대한민국 <strong class=""hl"">문화</strong>연예대상에서 K-POP 가수상, 제 26회 <strong class=""hl"">서울</strong>가요대상에서...</dd><dd>페스티벌 '<strong class=""hl"">2019</strong> 조이올팍페스티벌'이 <strong class=""hl"">서울</strong> 올림픽공원 일원에서 펼쳐졌다. 즐거움과 감동을 선사해온... 뜻깊은 <strong class=""hl"">2019</strong> 조이올팍페스티벌을 만드는데 동참하였다. 이 외 꾸준히 콘서트와 페스티벌 등을 통해 <strong class=""hl"">문화</strong> 사업을...</dd><dd>페스티벌 ‘<strong class=""hl"">2019</strong> 조이올팍페스티벌'이 <strong class=""hl"">서울</strong> 올림픽공원 일원에서 펼쳐졌다.즐거움과 감동을 선사해온... 뜻깊은 <strong class=""hl"">2019</strong> 조이올팍페스티벌을 만드는데 동참했다.이 외 꾸준히 콘서트와 페스티벌 등을 통해 <strong class=""hl"">문화</strong> 사업을...</dd><dd>페스티벌 ‘<strong class=""hl"">2019</strong> 조이올팍페스티벌'이 <strong class=""hl"">서울</strong> 올림픽공원 일원에서 펼쳐졌다. 즐거움과 감동을 선사해온... 뜻깊은 <strong class=""hl"">2019</strong> 조이올팍페스티벌을 만드는데 동참하였다. 이 외 꾸준히 콘서트와 페스티벌 등을 통해 <strong class=""hl"">문화</strong> 사업을...</dd>"
92,제6회 서울김장문화제," <dd class=""sh_blog_passage"">2019 <strong class=""hl"">제6회 서울김장문화제</strong> 2019.11.01(금)~03(일) 저는 부모님께서 식당을... 2014년부터 시작되어온 서울김장문화제가 올해로 6회째를 맞이했습니다. 사진은 안내...</dd><dd class=""sh_blog_passage"">2014 <strong class=""hl"">서울김장문화제</strong> http://festival.seoul.go.kr/2014kimchi 광화문광장, <strong class=""hl"">서울</strong>광장, 청계광장, 태평로, 세종로공원 2014-11-14 ~ 2014-11-16 상세정보 지난해 유네스코...</dd>"," <dd>▲ 입찰명 : ""<strong class=""hl"">제6회 서울김장문화제</strong> 대행 용역"", 계약방법 : 제한(총액)협상에의한계약. 공고기관 : 서울특별시, 입찰마감일시 : (2019/07/02 17:00), 발주처(수요기관) : 서울특별시. ▲ 입찰명 : ""서울미래인재 역량...</dd><dd>, 경북 칠곡군 칠곡보 생태공원(칠곡호국평화기념관 일원)) <strong class=""hl"">제6회</strong> 낙동강세계평화 문화 대축전은... , <strong class=""hl"">서울</strong>특별시 성북구 일대) ■ 한양도성<strong class=""hl"">문화제</strong> 2018 (10.13.~10.14., <strong class=""hl"">서울</strong> 중구 한양도성 일원(주 행사장:남산 팔각정...</dd><dd><strong class=""hl"">김장문화제</strong>(<strong class=""hl"">서울</strong>광장)     17:55 <strong class=""hl"">서울</strong>빛초롱축제 개막식(청계광장)    ▲ 서병수 부산시장 14:00 한일지사회 본회의(힐튼호텔)    ▲ 권영진 대구시장 10:00 제38회 경로체육대회(두류야구장)     14:00 <strong class=""hl"">제6회</strong>...</dd><dd>박원순 <strong class=""hl"">서울</strong>시장 14:20 제2회 <strong class=""hl"">서울김장문화제</strong>(<strong class=""hl"">서울</strong>광장ㆍ광화문광장) 18:00 <strong class=""hl"">서울</strong>빛초롱축제 개막식... 14:00 <strong class=""hl"">제6회</strong> 울산광역시 주민자치센터 동아리 경연대회 (대강당) 윤장현 광주시장 11:00 관광의 날 기념식...</dd><dd>◇'전 세계 무술의 진수를 맛본다' <strong class=""hl"">제6회</strong> 충주세계무술축제= 국내외 진기한 무술 세계를 엿볼 수 있는 `제... 이 축제 기간에는 충주의 지역축제인 제31회 우륵<strong class=""hl"">문화제</strong>가 함께 열리며, 10월 말에는 충주사과축제도...</dd><dd>(오전) △기재부, <strong class=""hl"">제6회</strong> 국제금융기구 채용 설명회 개최(오전) △KDI, 중국경제 구조변화 우리 경제에... 2014<strong class=""hl"">서울김장문화제</strong> 개막식(오후 1시30분, <strong class=""hl"">서울</strong>광장) △농식품부, 수출 사료의 영문증명 신청 및 발급 등에 관한...</dd><dd>열리는 <strong class=""hl"">제6회 서울</strong>사진축제는 지난 70년 동안 변화해 온 우리 사회의 모습을 사진으로 돌아보는 자리다. 총... ~12.3 신라<strong class=""hl"">문화제</strong> 2015 올해 43회째를 맞는 장수 지역행사인 신라<strong class=""hl"">문화제</strong>가 지난 10월부터 시작해 12월 3일까지...</dd><dd>11시30분 <strong class=""hl"">서울</strong>롯데호텔) 11일(목) ▲<strong class=""hl"">제6회</strong> 을파소상 시상식(오전 11시 충남도청 대회의실) ▲서구체육회... (토) ▲백제<strong class=""hl"">문화제</strong> 발전방안 워크샵(오전 10시 산림환경연구소) ▲제19회 유성구청장기 볼링대회(오후...</dd>"
